id,sentence,sentiment_Stanford,sentiment_Google Cloud,sentiment_Monkey Learn,Grand Truth
48, I checked this by sticking pieces of paper between the doors and the body of the car whenever I closed the unlocked doors,Negative,Negative,Negative,Negative
49,It was an experiment,Neutral,Neutral,Neutral,Neutral
50, It went on for six months,Neutral,Neutral,Neutral,Neutral
51, In the end I was almost hoping that something would happen; that someone would at least take that handful of gold coins that were there in plain view  but noone ever did,Negative,Negative,Negative,Negative
52,I decided to tell this war zone story to the Alice Springs News as soon as it would be appropriate to do so,Neutral,Neutral,Neutral,Neutral
53, That time has come now,Neutral,Neutral,Neutral,Neutral
54, That unlocked car is not in that street anymore; it is somewhere in the CBD,Negative,Neutral,Negative,Negative
55,When the good old peaceful quiet share house days in Sadadeen were over and my husband and I were ready to rent a house together we decided it was going to be either out bush (Colonel Rose Drive and surroundings; Ilparpa; Ross Highway)  or the CBD,Neutral,Positive,Neutral,Neutral
56, No suburbs for us this time,Neutral,Negative,Neutral,Neutral
57,The CBD is not what you call hip; but we would make it hip by moving there; we told ourselves,Negative,Negative,Negative,Negative
58, And the bush; well the bush has been hip for years,Positive,Positive,Negative,Positive
59,The bush did not work out in time; there was nothing suitable available,Negative,Negative,Negative,Negative
60, So the CBD it was,Neutral,Neutral,Positive,Neutral
61, People were listening with eyebrows raised to our plans to possibly rent in the middle of the CBD,Neutral,Neutral,Negative,Neutral
62," What about the noise; the fighting; the screaming; the vomit; the pee and the poo,  they asked",Negative,Negative,Negative,Negative
63,We shrugged,Neutral,Negative,Negative,Negative
64, Maybe we were againembarking on something insane; but this time we had nothing to lose,Negative,Negative,Negative,Negative
65, So we did not listen to all well meant advice and warnings and moved to the CBD,Negative,Negative,Negative,Negative
66, That was three months ago,Neutral,Neutral,Neutral,Neutral
67,Were 0 minutes from Kmart; 0 minutes from Yippy and 0 minutes from Coles,Negative,Neutral,Negative,Negative
68, We have range views,Neutral,Positive,Neutral,Neutral
69, And you cannot imagine the peace and quiet,Positive,Positive,Positive,Positive
70, We love it!We hardly use the car,Neutral,Positive,Positive,Positive
71, Woollies is our pantry and our freezer,Positive,Positive,Positive,Positive
72, Montys is around the corner,Neutral,Neutral,Neutral,Neutral
73, We walk to work,Negative,Neutral,Neutral,Neutral
74, I have not encountered much noise; or screaming; vomit; pee or poo at all,Negative,Negative,Negative,Negative
75,Its a bit too quiet here in the evenings,Negative,Positive,Positive,Positive
76, If only everyone would come to the CBD we could create for ourselves a nice; convenient; cozy; hip town centre where businesses are open after 5pm and tourists like to dwell,Negative,Positive,Positive,Positive
77, Theres vacant land and buildings galore,Negative,Neutral,Neutral,Neutral
78,The CBD is not dangerous; I go anywhere; on foot; at any hour of the night; yes also to the 24 hour shop,Negative,Neutral,Negative,Negative
79, I cross the Melanka site,Neutral,Neutral,Neutral,Neutral
80,And I dream of how nice it would be if people would live above all these shops; where now dark windows gape,Negative,Positive,Negative,Negative
81, If people would go out for a stroll and meet on the corners of the streets for a yarn,Neutral,Positive,Neutral,Neutral
82, If there would be light behind these windows and shop fronts,Neutral,Positive,Neutral,Neutral
83, If people would sit on their balconies watching the world go by,Neutral,Neutral,Negative,Neutral
84,Imagine an Alice with a CBD like Venice; where one can hear footsteps on the pavement and music coming from little cafes,Negative,Positive,Negative,Negative
85, Why not in Alice,Negative,Neutral,Neutral,Neutral
86, Weve got it all: the weather; the stars; the clean air; the international community; the empty buildings,Positive,Positive,Positive,Positive
87,All we need is people,Neutral,Neutral,Neutral,Neutral
88, And you dont even have to be brave,Positive,Neutral,Positive,Positive
89, It is perfectly okay in the CBD,Positive,Positive,Positive,Positive
90,Photos: Suzanne and Mike  sad to leave; happy to be back,Positive,Negative,Positive,Positive
91,Be Sociable; Share!TweetPosted: June 1; 2013 at 3:33 pm   Post a comment8 Comments (starting with the most recent)NB: If you want to reply to a previous comment; start your comment with this notation: n where n is the number of the comment you want to reply to,Negative,Neutral,Neutral,Neutral
92,VeronicaPosted January 4; 2015 at 7:17 pmWhat a lovely; inspiring story,Positive,Positive,Positive,Positive
93,View CommentRick EverettPosted July 28; 2013 at 9:24 amThanks for your insight Suzanne,Negative,Neutral,Positive,Negative
94, I am currently contemplating a move from Newcastle NSW to Alice Springs; having been offered a new job there,Negative,Neutral,Positive,Negative
95, I know little about the area and it is great to read Positive stuff given that is a big move for our entire family,Positive,Positive,Positive,Positive
96, Perhaps I will bump into you in the new hip CBD,Negative,Neutral,Neutral,Neutral
97, All the best Rick,Positive,Positive,Positive,Positive
98,View CommentSandyPosted June 5; 2013 at 9:47 amThanks for the uplifting story; Suzanne,Negative,Positive,Positive,Positive
99, You; Mike; Bob; all of you are right  Alice is a great town and I would like a dollar for all those who have left; only to return at a later date,Positive,Positive,Negative,Positive
100, One day the CBD will be filled with residential living and shops will be abuzz again,Positive,Neutral,Neutral,Neutral
101, Sooner; rather than later; I hope,Negative,Neutral,Positive,Negative
102,View CommentSuzanne VisserPosted June 2; 2013 at 10:35 amBob Durnan; Conventional Negative doomsaying bullshit that is served up with monotonous regularity,Negative,Negative,Negative,Negative
103, Well said! Thats exactly the point I wanted to make,Neutral,Positive,Positive,Positive
104, There is the occasional aggressive drunk here; yes,Positive,Neutral,Positive,Positive
105, But compare that with a town like Byron Bay (we were close to this once beautiful coastal town); which has now become the most dangerous town of NSW,Neutral,Positive,Negative,Neutral
106, The fuel for aggression there is not grog but speed,Neutral,Neutral,Neutral,Neutral
107, In Byron Bay whole gangs go party crashing base ball bats in hand,Neutral,Negative,Positive,Neutral
108, Murder is a regular occurrence,Neutral,Neutral,Neutral,Neutral
109, Not to mention Nimbin; once the place to go and find peace and love,Neutral,Positive,Positive,Positive
110, Semiorganised crime is everywhere in those beautiful hills and what is worse: the police there is useless,Negative,Negative,Negative,Negative
111, The police here are great,Positive,Positive,Positive,Positive
112, Compassionate but firm,Neutral,Positive,Positive,Positive
113, And our social services; such as the YSOS; but also the Womens Shelter; DASA; CAAAPU; and the social workers at Centrelink; to name only a few; are second to none,Negative,Neutral,Neutral,Neutral
114, Ive always thought that the spaces above shops in the CBD should be converted into living accommodation and I also think Alice Springs needs a stunningly built skyscraper by a upcoming killer architect; somewhere in the desert; to attract tourists and to solve the housing problem,Negative,Neutral,Negative,Negative
115, Something with a museum on the ground floor and a restaurant on the top floor and a panorama like we once had by Hank Guth; and apartments with stunning desert views; some of the apartments lofts with only the bare minimum so that people can build them up at their own pace,Positive,Positive,Positive,Positive
116, If I were rich that would be a project I would embark on tomorrow,Neutral,Neutral,Neutral,Neutral
117, As for now I long to work again for one of these amazing organisations mentioned above,Positive,Positive,Positive,Positive
118,View CommentBob DurnanPosted June 1; 2013 at 9:48 pmThanks Susanne; great to hear from somebody who is prepared to look at the town with fresh eyes; and not fall for the conventional Negative doomsaying bullshit that is served up with monotonous regularity in all manner of the towns forums,Negative,Neutral,Negative,Negative
119, I (and several others who comment here) have written about similar experiences of the river and CBD at night over the last couple of years,Neutral,Positive,Neutral,Neutral
120, If you know what you are doing; treat people with respect; dont overreact to the occasional angry drunk; and take a bit of care around any current known trouble spots; you are unlikely to strike any trouble in the CBD or riverbed areas during the evening or daytime,Negative,Positive,Positive,Positive
121, This applies especially over the last 15 months since the diligent work of the nighttime youth outreach workers (YSOS) has reduced antisocial behaviour by bored and alienated youth to a very low level; supported by excellent policing and daily followup by social workers who liaise with the youth and their families,Negative,Neutral,Negative,Negative
122, If more shops were set up with accommodation included or converted to town houses; and more flats were built around the CBD (without going overboard in terms of height) I am sure that the CBD would be rejuvenated and provide a wonderful living environment,Negative,Positive,Positive,Positive
123,View CommentGini KesslerPosted June 1; 2013 at 8:52 pmSuzanne; your courage along with Mikes has truly inspired me,Negative,Positive,Positive,Positive
124, Having known you since the 90s in Tokyo; youve had to contend with so much adversity,Neutral,Positive,Positive,Positive
125, Youll never know how much I admire you and all your accomplishments,Positive,Positive,Positive,Positive
126, Your giving; loving heart that has reached out to help only to get stepped on again and again; but you just keep being yourself and reaching out to others,Negative,Positive,Positive,Positive
127, You are one in a million in my book and Im proud to call you my friend! GiniView CommentSuzanne VisserPosted June 1; 2013 at 8:18 pmMike Gillam; Nice to hear you again! Thank you for your kind words,Positive,Positive,Positive,Positive
128, The word rose seems to still be current between us,Neutral,Neutral,Negative,Neutral
129, This time in rose coloured glasses,Neutral,Neutral,Neutral,Neutral
130, Yes; our town can be dangerous at times; but where we decided to settle; on the East Coast; was a zillion times more dangerous,Negative,Neutral,Negative,Negative
131, I think danger also depends on ones own attitude and hey; it is nice to write about something nice for a change,Positive,Positive,Negative,Positive
132, Not all is gloom and doom and theres much about our town that can and should be enjoyed,Negative,Neutral,Positive,Negative
133, I saw it with fresh eyes when I came back and compared to many towns in Australia it is colourful; multicultural; a town of painters; and very very laid back,Positive,Positive,Positive,Positive
134, The friendliness of the people was also something I had almost forgotten in my two years of absence,Negative,Positive,Positive,Positive
135, Kind regards; Suzanne VisserView CommentMike GillamPosted June 1; 2013 at 6:11 pmSuzanne and Mike; Nice to hear youre back in town and Im sorry to hear of your experiences on the east coast,Negative,Positive,Negative,Negative
136, Many thanks for reminding us that stereotyping people; suburbs and places like Alice Springs denies the existence of a greater reality and sometimes treating people as trustworthy is a good starting point,Positive,Neutral,Positive,Positive
137, And Im sure youre wise enough to know that youll be disappointed on occasion,Negative,Positive,Negative,Negative
138, Before someone pours scorn on you with a jibe about seeing the world through rose tinted glasses; may I suggest caution walking around the CBD at night,Negative,Neutral,Positive,Negative
139, Unfortunately our town; like many places around the country; is not totally safe at night,Negative,Negative,Negative,Negative
140, Risk taking should be measured and the consequences of getting it wrong should always be considered first,Negative,Negative,Positive,Negative
141, That said; the CBD can only benefit from your presence and good will,Positive,Positive,Negative,Positive
142,View CommentPost a CommentYour email is never shared,Negative,Neutral,Negative,Negative
143, Required fields are marked *Name*Email*WebsiteComment,Negative,Neutral,Neutral,Neutral
144,What did we just watch,Neutral,Neutral,Neutral,Neutral
145,!You might be thinking exactly this after viewing this advertisement; that looks more like something that belongs on a porno website,Negative,Negative,Negative,Negative
146,The ad is acutally for a real estate listing for a Sydney property and since its release it has gone viral online because its extremely sexual undertones and pounding music legit reminds people of the intro to a bad porn video,Negative,Negative,Negative,Negative
147,Yep; all thats basically missing is a bomb chicka wah wah sound effect,Negative,Positive,Negative,Negative
148,The video is supposed to showcase a fourbedroom house for sale in south west Sydney but since it was posted on Realestate,Negative,Negative,Negative,Negative
149,com on Wednesday; people have become more focused on the people in the ad who are seen dancing seductively on a table,Neutral,Neutral,Positive,Neutral
150,It was quickly shared around on Twitter and has received a roasting of spectacular fashion in the process,Positive,Positive,Positive,Positive
151,Some people called it so breathtakingly horrific that it borders on art and the most Real Estate Agent video I have ever seen,Positive,Neutral,Negative,Positive
152,Others commented on the seemingly awkward layout of the house; especially the fact that the swimming pool runs right past the window of the ensuite bathroom,Negative,Neutral,Positive,Negative
153,also for those in this thread asking if the toilet has full line of sight to the kitchen/dining room; the answer is unequivocally yes pic,Negative,Neutral,Positive,Negative
154, April 17; 2019Never mind the video; the houses layout looks like it was a student project; said one person,Negative,Neutral,Negative,Negative
155, Omg the swimmer can watch someone wee; another joked,Negative,Neutral,Positive,Negative
156,The video has since been removed from the official listing on LJ Hookers website and from their youtube account,Negative,Negative,Negative,Negative
157,The real estate agent for the property; Sam Nader from LK Hooker Bankstown; has since come out in defence of the video; saying it was meant to be a spoof,Negative,Negative,Negative,Negative
158,I just wanted to do something different in the industry; and it really; really worked; he said,Positive,Positive,Positive,Positive
159,I did one for a hour in Illawong and it broke the record for the area  $3;205;000; sold before auction,Positive,Negative,Negative,Negative
160,Video gets attraction to the property; and the whole point of real estate is to get as many eyes as possible on the property,Positive,Positive,Negative,Positive
161, It was supposed to be funny,Neutral,Negative,Negative,Negative
162, Whether its funny; its rude of its sexy; every video I do is different,Neutral,Negative,Neutral,Neutral
163,LJ Hooker on the other hand released a statement apologising if the video offended anyone; saying they missed the mark,Negative,Negative,Negative,Negative
164,We understand that our recent video circulated on social media promoting one of our listing may have been taken out of context by some and for this we apologise; the statement read,Negative,Neutral,Negative,Negative
165,We have removed the video from our digital and social media channels,Negative,Negative,Negative,Negative
166,At least everybodys talking about the property now! Any publicity is good publicity; right,Positive,Neutral,Negative,Positive
167,Why fewer adults are leaving home It made George Costanza the butt of jokes on hit sitcom Seinfeld; but there are now more young Australians living like George than ever before,Negative,Neutral,Negative,Negative
168,Mum puts home; land; cash; business up for $55 raffle A Queensland mum has put her entire lifes work up for raffle; mega lottery style  house; land; cash; business; the lot for $55 per chance,Negative,Positive,Negative,Negative
169,Big catch with Scott Morrison's $500m housing splurge It is supposed to give first home buyers a muchneeded leg up  but experts have warned of glaring holes in this radical new scheme,Negative,Neutral,Negative,Negative
170,PM bets house on promise to firsthome buyers Firsthome buyers have been targeted in a bold pitch by the Prime Minister to woo voters; slashing the amount of cash wouldbe homebuyers need to save before auction,Negative,Positive,Negative,Negative
171, Heres who would qualify,Neutral,Neutral,Neutral,Neutral
172,Noosa Hill houseprice record set by masterpiece with views RIVIERA  a dazzling property masterpiece  has set a new record for Noosa Hill,Positive,Positive,Positive,Positive
173,Make your bedroom a dream scene Turn your bedroom into an organised; calm sanctuary with these styling tips from an interiors expert,Negative,Positive,Positive,Positive
174,Luxury home in sought after location is the complete package 'It's the sort of home everyone wants'Thors haven Australias most expensive town It is home to some of our biggest celebrity names; and Thors mega mansion,Negative,Positive,Positive,Positive
175, Now this hippie haven can also lay claim to another illustrious title,Neutral,Positive,Positive,Positive
176,Dont miss this weekends open houses If you're looking to buy a property in the Toowoomba region  be sure to inspect the wide range of houses and units open for inspection this weekendFury at note from $1.5m party house An Aussie family moved out of their sixbedroom home and while waiting for a buyer; theyve done something infuriating neighbours.,Negative,Negative,Negative,Negative
177,$20m mistake: Why real estate shakeup failed Online real estate agent Purplebricks was destined to fail in Australia after making this $20 millionayear mistake,Negative,Negative,Negative,Negative
178,Retreat inspired by Killarney wins swag of awards EYES around the nation and overseas are on the country house that was built to reflect the landscape it resides in,Positive,Positive,Positive,Positive
179,Unique home that thinks outside box A Townsville woman is turning heads as the new resident on the block in her quirky home,Negative,Positive,Negative,Negative
180,Aldi of real estate quits Australia Three years after it promised to shake up our real estate market and put money back in homeowners pockets; Purplebricks is on its way out,Negative,Negative,Negative,Negative
181,RBA holds but rate cut coming The RBA has shrugged off shock inflation figures to keep the official cash rate on hold; avoiding a historic preelection intervention,Negative,Negative,Negative,Negative
182,Ben Barba looks to offload Brisbane house Disgraced exNRL player Ben Barba puts his only Queensland property up for sale as he copes with life after league in his hometown of Mackay,Negative,Neutral,Neutral,Neutral
183,Gympie based business has 'tiny' way to beat housing crisis Gympie business is taking 'tiny' steps to beating the housing and rental crisisProperty trashed by tenants: Covered in faeces; urine THE photos are awful  but what they can't convey is the smell of this North Toowoomba home  where every floor in every room was caked in dog faeces and urine,Negative,Negative,Negative,Negative
184,Austin Dres sold his property at 52 Saywell St; North Geelong late last year,Negative,Neutral,Neutral,Neutral
185, Nicole Mayne Firsthome buyers are beating a path to older areas of North Geelong where $450;000 is still enough to get a foot on the property ladder,Negative,Neutral,Neutral,Neutral
186, Melbourne buyers with deeper pockets flooded the market last year but their retreat has opened the door to a new generation of owner occupiers,Positive,Neutral,Positive,Positive
187, Their interest; along with that of investors; continues to push up the price of median houses in the inner northern suburb,Positive,Negative,Negative,Negative
188, 126 Thompson Rd; Geelong is on the market for $419;000 to $459;000,Negative,Neutral,Neutral,Neutral
189, Source: Supplied MORE REAL ESTATE NEWS: TV host Nicky Buckley sells her Bells Beach family home Buyers from waterfront precinct purchase close to home Auction with crowd of just two still produces happy ending in Lara One of the regions top performers last year with capital growth of 27.9 per cent; North Geelong added another 3.4 per cent in the three months to January,Negative,Positive,Neutral,Negative
190, The median house price now sits at $497;500; according to CoreLogic,Negative,Neutral,Neutral,Neutral
191, Starting your hunt for a dream home Buxton agent Roger Pedretti said houses that might have sold in the high $400;000s late last year were currently selling in the mid$400;000 range,Negative,Neutral,Neutral,Neutral
192, But he tipped further growth ahead as more people discovered the benefits of the former industrial heartland,Positive,Neutral,Positive,Positive
193, I think North Geelong is one of those areas that will still grow because of its proximity to the city; Mr Pedretti said,Negative,Neutral,Positive,Negative
194, 157 Victoria St; North Geelong is on the market for $550;000 to $600;000,Negative,Neutral,Neutral,Neutral
195, Source: Supplied You can walk to the station and walk to the water and people are slowly starting to recognise that,Negative,Positive,Neutral,Negative
196, Large backyard sheds with the potential to create an extra income stream have also become a magnet for astute investors,Positive,Neutral,Positive,Positive
197, Having some of those options for having shedding and a house has become a bit of a market; he said,Negative,Neutral,Positive,Negative
198, Flexibility was the key to the recent sale of 48 Roseneath St; North Geelong,Negative,Neutral,Neutral,Neutral
199, Source: Supplied Harcourts; North Geelong recently sold one such property; at 48 Roseneath St; for $560;000,Negative,Neutral,Neutral,Neutral
200, The 802sq m property offered great flexibility due to its industrial zoning and three separate tenancies; including a house and two sheds,Positive,Positive,Positive,Positive
201,THESE are the cheapest houses in Australia  and theyre selling for less than the price of a new hatchback,Negative,Neutral,Negative,Negative
202, SAMANTHA HEALY The CourierMail August 18; 2018 12:00am 52 brodie St; Hughenden is on the market for $24;900,Negative,Neutral,Neutral,Neutral
203, Source:Supplied QUEENSLANDS cheapest house has been sold for less than the price of a new hatchback,Negative,Positive,Negative,Negative
204, The property at 19 Hardwicke St in Hughenden was listed for sale in as is condition for $18;000,Negative,Neutral,Neutral,Neutral
205, Ray White Richmond agent Alison Vohland said the property was now under contract; and had sold for less than $18;000,Negative,Negative,Neutral,Negative
206, 19 Hardwicke St; Hughenden; sold for $18;000,Negative,Negative,Neutral,Negative
207, Source:Supplied 19 Hardwicke St Hughenden Source:Supplied The buyers are from down south and are escaping the cold; she said,Negative,Neutral,Neutral,Neutral
208, They really wanted a good block in a nice residential area and the land is probably what sold it,Positive,Neutral,Neutral,Neutral
209, I dont think they are going to fix the house  its probably too far gone,Negative,Negative,Negative,Negative
210, It is probably 1920sera and has the oldstyle roof where you look up at the corrugated iron; and just a single interior wall,Negative,Neutral,Negative,Negative
211, Inside 52 Brodie St; Hughenden,Negative,Neutral,Neutral,Neutral
212, Source:Supplied Ms Vohland said she was seeing more and more older people making the shift north; lured by the warmer climate and affordable housing,Negative,Positive,Positive,Positive
213, She said potential buyers from the more expensive southern capital cities were keen to unlock some equity and secure a house they could lock up and leave to go travel in their golden years,Neutral,Neutral,Negative,Neutral
214, Thats good news for us; she said,Positive,Positive,Positive,Positive
215,The most recent Price Predictor Index report from Hotspotting by Ryder noted an improvement in Queensland regional areas damaged by trends in the resources sector,Negative,Neutral,Negative,Negative
216, The number of regional Queensland locations classified as Danger markets has dropped from a record high of 31 late in 2016 to 19 now; the report found,Negative,Neutral,Neutral,Neutral
217, The report tracks sales volumes rather than rises in the median house price to chart growth,Negative,Neutral,Neutral,Neutral
218, Another property on Ms Vohlands books is 52 Brodie Street; also in Hughenden ,Negative,Neutral,Neutral,Neutral
219, The three bedroom cottage is on the market for $24;900 and sits on a 1012sq m block,Negative,Negative,Negative,Negative
220, To put that in perspective  that amount of land alone could set you back over $20 million in some of Sydneys most expensive suburbs,Negative,Negative,Positive,Negative
221, The kitchen at 52 Brodie St; Hughenden,Negative,Neutral,Neutral,Neutral
222, Source:Supplied Ms Vohland said that house was in better condition; and there had already been some interest in the property,Negative,Neutral,Neutral,Neutral
223, Mostly from tenants down south wanting to get their own home; she said,Neutral,Neutral,Positive,Neutral
224, Another house at 38 Brodie St in Hughenden is on the market for $40;000,Negative,Neutral,Neutral,Neutral
225, The latest property data from CoreLogic shows the median sales price in Hughenden is $95;000; up 18,Negative,Neutral,Neutral,Neutral
226,8 per cent in the last 12 months,Neutral,Neutral,Neutral,Neutral
227, At its peak; Hughenden house prices reached $126;250 in 2012,Negative,Neutral,Neutral,Neutral
228, QUEENSLAND HOUSES UNDER $75;000 4 Roper Court; Dysart  $70;000 52 Brodie Street; Hughenden  $24;900 16 Annandale St; Injune  $49;000 2 Menzies Street; Dysart  Offers from $65;000 88 James St; Mount Morgan  $50;000 13 Connors St; Dysart  $55;000 31 Rose Street; Blackall  $50;000 28 Walton St; Meandarra  $58;000 4 Myrtle Street; Blackall  $70;000,Negative,Neutral,Neutral,Neutral
229,Ms Vohland said the construction of a new solar and wind farm; the creation of a recreational lake and the works of the Hann Highway had created some positivity in the region,Positive,Positive,Positive,Positive
230, In the mining regions; a search for jobs yielded 1430 miningspecific listings on employment website,Negative,Neutral,Neutral,Neutral
231,550 job ads were listed for Dysart; where the median house sales price has fallen from a whopping $330;000 at the height of the mining boom to just $71;000,Negative,Negative,Neutral,Negative
232, Raine and Horne Moranbah agent Emmarina Watene has 4 Roper Court ; which is on the market for $70;000,Negative,Neutral,Neutral,Neutral
233, The lowset three bedroom house is in need of TLC but features open plan living; dining and kitchen areas; airconditioning and ceiling fans in every bedroom; an undercover; drivethrough carport and side access to the large backyard,Negative,Positive,Positive,Positive
234, I have had some interest; mostly from investors down south; she said,Negative,Neutral,Neutral,Neutral
235, I feel like we have hit rock bottom now and we should hopefully start seeing some improvement,Positive,Positive,Negative,Positive
236, Buyers are already trying to secure rental properties so the cheaper ones get snapped up quickly,Negative,Negative,Negative,Negative
237, 52 Brodie St; Hughenden sits on a 1012sq m block; a size that could set you back over $20 million in some of Sydneys most expensive suburbs,Negative,Negative,Positive,Negative
238, Source:Supplied Ms Watene said interstate retirees and grey nomads were helping to plug the gap left behind by workers after the downturn; with many using outback towns like Dysart as a base for travelling,Negative,Neutral,Neutral,Neutral
239, Both agents agreed there was plenty of reasons to make the move to the outback,Positive,Neutral,Neutral,Neutral
240, Property data shows that many small mining towns are showing green shoots; with house prices in Clermont up 42.1 per cent in 12 months; reaching $270;000 after a peak of $350;000 in 2012,Negative,Negative,Negative,Negative
241, It is a similar story in Moranbah; where prices have risen 14.6 per cent in the past 12 months to $185;000 after falling from a high of $352;000 in 2007,Negative,Negative,Neutral,Negative
242, In Blackwater; 60 houses have sold in the past 12 months with the median sales price now $105;000; which is still $45;000 less than the peak in 2014,Negative,Negative,Negative,Negative
243, Over 170 houses have sold in Emerald during the same period; with median sales prices up 12,Negative,Negative,Neutral,Negative
